"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2","Data.Quality","HDI","Per.Capita.GDP","Region","Income.Group","Population..millions.","Cropland.Footprint","Grazing.Footprint","Forest.Product.Footprint","Carbon.Footprint","Fish.Footprint","Built.up.land","Total.Ecological.Footprint"
"64","Malawi",TRUE,0.00525974,90.9482,105.092,16.5459,0.00849615,104.88,5.19157,2.003828,"Least Developed",0.00849615,43.3590544548035,57.1572182655334,"5",0.432829,493.843,"Africa","LI",15.91,0.43,0.05,0.2,0.07,0.01,0.05,0.81
"65","Malaysia",TRUE,0.0234106,37.8372,300.872,12.8747,0.0105603,81.4056,3.05187,2.494171,"Rest of World",0.0105603,40.8039910774231,41.0364751543318,"3B",0.77412,10252.6,"Asia-Pacific","UM",29.24,0.67,0.12,0.38,2.1,0.36,0.07,3.71
"66","Mali",TRUE,0.00104462,-104.906,39.6888,13.0783,0.0035976,30.9193,4.0271,0.2037961,"Rest of World",0.0035976,38.9294274730682,38.7009322874887,"6",0.414384,741.224,"Africa","LI",14.85,0.52,0.66,0.17,0.1,0.03,0.06,1.53
"67","Mauritania",TRUE,0.000453491,-33.2716,20.8589,12.177,0.00132388,10.8968,1.44308,0.0069804,"Least Developed",0.00132388,35.6520012626648,41.7338408660889,"3B",0.497716,1524.39,"Africa","LM",3.8,0.39,1.2,0.21,0.55,0.15,0.04,2.54
"68","Mexico",TRUE,0.00665561,25.0778,173.693,15.8703,0.00338371,75.5484,11.2858,1.738976,"Rest of World",0.00338371,47.369667930603,47.1850106321062,"5",0.754167,10123.9,"Latin America","UM",120.85,0.55,0.24,0.25,1.74,0.06,0.05,2.89
"69","Moldova",TRUE,0.00717676,-11.6087,145.977,11.978,0.00114972,77.6956,10.0095,9.49697,"Rest of World",0.00114972,39.8443481216431,26.460177230835,"5",0.683157,1971.03,"Other Europe","LM",3.51,0.43,0.08,0.15,1.03,0.06,0.03,1.78
"70","Mongolia",TRUE,0.00101385,-107.467,88.8067,15.0103,0.000810514,3.76856,1.3944,0.001036308,"Rest of World",0.000810514,33.8565699825287,34.3222547912598,"3B",0.713926,3736.07,"Asia-Pacific","LM",2.8,0.29,3.47,0.17,2.09,0,0.05,6.08
"71","Morocco",TRUE,0.00209847,-72.1964,47.8769,19.6958,0.00548547,127.643,4.18734,3.827406,"Rest of World",0.00548547,38.7379111461639,36.7105901813507,"5",0.623427,3149.43,"Africa","LM",32.52,0.6,0.17,0.14,0.67,0.06,0.03,1.68
"72","Namibia",TRUE,0.00160261,-99.5184,39.8663,19.0318,0.00040744,4.35131,1.92838,0.002324322,"Rest of World",0.00040744,63.8856232910156,65.1856472524007,"3L",0.619775,5880.8,"Africa","UM",2.26,0.33,0.23,0.17,1.02,0.72,0.02,2.48
"73","Nepal",TRUE,0.00314968,158.731,137.249,14.9011,0.101183,448.013,31.0744,6.076889,"Least Developed",0.101183,42.5255340042114,38.4810042572022,"6",0.539963,700.069,"Asia-Pacific","LI",27.47,0.43,0.07,0.21,0.16,0,0.11,0.98
"74","Netherlands",TRUE,0.064858,165.376,220.538,15.1038,0.00114647,259.288,119.473,2.730018,"Most Developed",0.00114647,24.8756521396637,25.288660326004,"6",0.920454,53589.9,"EU-27","HI",16.71,0.76,0.58,0.38,3.23,0.16,0.17,5.28
